Project	Fully-Qualified Class Name	Module	Description
client	com.l3com.apps.commongui.actions.AdjustDeltasAction.java	Adjust Deltas	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.AdjustDeltasClassicAction.java	Adjust Deltas	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.AllocationAction.java	Allocation	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.AppendRequirementsAction.java	Adjust Requirements	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.AssetMgmtAction.java	Attachment Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.CCNMgmtAction.java	CCN (Change Control Number) Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ChangePasswordAction.java	Change Password	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ComboMgmtAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.CreateAlertAction.java	Alert	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.DeltaMgmtAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.DeltaMgmtClassicAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.DownloadInstallAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.DrillFieldCopyAction.java	Execution Drill Field Copy	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.DrillMgmtAction.java	Execution Drill/BOGEY Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.EmailAction.java	Email	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ExecutionAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ExecutionRqmtAction.java	Execution Requirement	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ExerciseMgmtAction.java	Programming Exercise Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.LookupMgmtAction.java	Lookup Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.OnLineHelpAction.java	Online Help Documentation	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.PanelPresentationAction.java	Panel Presentation	"An extension of javax.swing.JPanel that contains user interface components such as text boxes, buttons, and dropdown boxes. Tabs are used to organize and lay out information within a module"
client	com.l3com.apps.commongui.actions.PEMgtAction.java	APPS System-Wide Graphical User Interface Components	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.PermissionMgmtAction.java	Execution Permission Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.PlanningChoiceAction.java	Planning Choice	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.PlanningYearMgmtAction.java	Planning Year Management	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.PomIssueAction.java	POM Issue	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
client	com.l3com.apps.commongui.actions.ProgramSummaryAction.java	Program Summary	"An extension of javax.swing.AbstractAction. When applied to a user interface component, such as a button or a dropdown box, notifies the module's controller that the user has interacted with the component"
